|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsiz (Bin)|1. (15+) ve Erkek ve 1. (Okuma Yazma Bilmeyen) ve 1. (Tam Zamanlı)|2014|43.0|42.0|40.0|37.0|34.0|30.0|35.0|35.0|46.0|50.0|53.0|51.0|
||2015|46.0|37.0|31.0|25.0|26.0|29.0|28.0|30.0|33.0|32.0|33.0|37.0|
||2016|51.0|47.0|38.0|26.0|23.0|24.0|22.0|26.0|24.0|29.0|35.0|44.0|
||2017|45.0|38.0|27.0|29.0|28.0|32.0|25.0|28.0|28.0|30.0|37.0|39.0|
||2018|48.0|39.0|36.0|27.0|23.0|25.0|31.0|34.0|33.0|27.0|30.0|39.0|
||2019|59.0|69.0|62.0|59.0|41.0|40.0|39.0|42.0|46.0|42.0|42.0|48.0|
||2020|55.0|56.0|44.0|34.0|33.0|30.0|30.0|27.0|31.0|27.0|28.0||
|1. (15+) ve Erkek ve 1. (Okuma Yazma Bilmeyen) ve 2. (Tam Zamanlı, Ancak Bulamazsa Yarı Zamanlı Olabilir)|2014|2.0|3.0|3.0|4.0|3.0|5.0|3.0|2.0|1.0|2.0|2.0|1.0|
||2015|2.0|2.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|2.0|3.0|
||2016|4.0|3.0|2.0|1.0|0.0|0.0|0.0|1.0|2.0|2.0|1.0|2.0|
||2017|3.0|3.0|2.0|1.0|1.0|1.0|-9.93E8|3.0|3.0|3.0|0.0|1.0|
||2018|0.0|2.0|3.0|3.0|1.0|-9.93E8|0.0|0.0|1.0|1.0|1.0|1.0|
||2019|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|
||2020|1.0|1.0|1.0|2.0|1.0|1.0|-9.93E8|2.0|2.0|3.0|3.0||
|1. (15+) ve Erkek ve 1. (Okuma Yazma Bilmeyen) ve 3. (Yarı Zamanlı)|2014|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|2.0|1.0|1.0|-9.93E8|-9.93E8|
||2015|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2016|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2020|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8||
|1. (15+) ve Erkek ve 1. (Okuma Yazma Bilmeyen) ve 4. (Yarı Zamanlı, Ancak Bulamazsa Tam Zamanlı Olabilir)|2014|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|0.0|-9.93E8|-9.93E8|
||2015|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2016|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2020|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8||
