|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2015|64.0|51.0|55.0|42.0|48.0|55.0|49.0|56.0|64.0|75.0|73.0|66.0|
||2016|71.0|58.0|50.0|41.0|42.0|61.0|71.0|74.0|54.0|64.0|71.0|71.0|
||2017|47.0|36.0|37.0|40.0|53.0|56.0|67.0|58.0|50.0|47.0|55.0|68.0|
||2018|72.0|60.0|48.0|43.0|45.0|45.0|54.0|56.0|66.0|68.0|69.0|68.0|
||2019|63.0|62.0|60.0|55.0|48.0|47.0|49.0|60.0|64.0|68.0|61.0|56.0|
||2020|43.0|51.0|57.0|58.0|50.0|43.0|50.0|49.0|41.0|44.0|48.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 12. (3-5 Ay)|2014|45.0|45.0|41.0|28.0|25.0|25.0|22.0|20.0|35.0|38.0|43.0|37.0|
||2015|42.0|38.0|31.0|29.0|31.0|31.0|27.0|26.0|32.0|29.0|37.0|34.0|
||2016|45.0|44.0|47.0|43.0|35.0|34.0|28.0|30.0|27.0|25.0|25.0|33.0|
||2017|48.0|53.0|51.0|38.0|28.0|24.0|28.0|30.0|24.0|25.0|26.0|28.0|
||2018|34.0|34.0|35.0|23.0|19.0|24.0|25.0|25.0|20.0|27.0|32.0|40.0|
||2019|55.0|62.0|58.0|46.0|38.0|36.0|32.0|29.0|31.0|29.0|26.0|30.0|
||2020|40.0|43.0|44.0|35.0|32.0|34.0|42.0|40.0|27.0|27.0|33.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 13. (6-8 Ay)|2014|15.0|22.0|20.0|26.0|19.0|18.0|9.0|6.0|5.0|10.0|12.0|10.0|
||2015|5.0|11.0|11.0|18.0|15.0|17.0|11.0|11.0|9.0|9.0|7.0|13.0|
||2016|13.0|16.0|22.0|24.0|22.0|9.0|8.0|6.0|7.0|8.0|8.0|14.0|
||2017|12.0|13.0|15.0|17.0|18.0|11.0|16.0|14.0|16.0|10.0|10.0|8.0|
||2018|5.0|11.0|12.0|17.0|13.0|11.0|10.0|8.0|9.0|4.0|10.0|12.0|
||2019|28.0|29.0|28.0|19.0|17.0|17.0|16.0|14.0|14.0|12.0|11.0|15.0|
||2020|21.0|27.0|26.0|18.0|14.0|14.0|11.0|13.0|15.0|15.0|14.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 14. (9-11 Ay)|2014|3.0|3.0|1.0|0.0|1.0|1.0|1.0|3.0|2.0|2.0|4.0|4.0|
||2015|4.0|2.0|2.0|2.0|1.0|1.0|0.0|1.0|2.0|2.0|5.0|4.0|
||2016|4.0|1.0|2.0|4.0|4.0|3.0|2.0|2.0|3.0|1.0|2.0|1.0|
||2017|3.0|3.0|5.0|4.0|5.0|4.0|4.0|4.0|4.0|3.0|10.0|12.0|
||2018|18.0|15.0|12.0|9.0|5.0|4.0|3.0|2.0|4.0|3.0|5.0|8.0|
||2019|9.0|11.0|10.0|10.0|6.0|6.0|6.0|7.0|4.0|2.0|2.0|2.0|
||2020|3.0|3.0|6.0|10.0|12.0|10.0|7.0|6.0|5.0|5.0|13.0||
